Bank Name,Card Name,Cashback,Spend Cap,url,image_url
Citi,Custom Cash,0.01,$500/ month,https://www.citi.com/credit-cards/citi-custom-cash-credit-card, https://online.citi.com/CBOL/family/cards/card-art/citi-custom-cash/citi-custom-cash_247x156.png
Bank of America,Customized Cash,0.02,"$2,500/ quarter",https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/, https://www.bankofamerica.com/content/images/ContextualSiteGraphics/CreditCardArt/en_US/Approved_PCM/8ckn_cshsigcm_v_250x158.png
Abound CU,Visa Platinum,0.05,No Cap,https://www.aboundcu.com/Spend-Save/Personal-Accounts/Credit-Cards/Cash-Back-VISA-Card, https://i.ibb.co/S44cZB1N/abound-rewarss.png 
Bread (Comenity),AAA Travel Advantage,0.05,"$7,000/ year",https://www.aaa.com/AAA/common/bread/breadfinancial.html, https://i.ibb.co/spmwpdbS/AAA-card.png
Synchrony,Sam's Club Mastercard,0.05,"$6,000/ year",https://www.samsclub.com/content/credit, https://i.ibb.co/BvHQgk8/Screenshot-2025-03-29-164815.png
USAA,Cashback Rewards Plus,0.05,"$3,000/ year",https://www.usaa.com/inet/wc/bank-credit-card-cashback-rewards-plus-american-express, https://i.ibb.co/jvZmXDDG/cashback-rewards-plus-american-express-card-flat-new-look-v1.png
Truist,Enjoy Cash,0.045,"$1,000/ month",https://www.truist.com/credit-cards/enjoy-cash, https://i.ibb.co/kgJVYLQb/truist-card.png
PenFed CU,Platinum Rewards,0.0425,No Cap,https://www.penfed.org/credit-cards/platinum-rewards-visa, https://www.penfed.org/content/dam/penfed/en/products/credit-cards/cards/platinum-rewards.webp
Synchrony,Verizon Visa,0.04,No Cap,https://www.verizon.com/solutions-and-services/verizon-visa-card/, https://i.ibb.co/3Y7Mxc1Q/veruiszon-wide.png
InFirst FCU,Visa Rewards,0.04,No Cap,https://www.infirstfcu.org/credit-cards, https://images.squarespace-cdn.com/content/v1/5b5a39fc4611a07f8d7220e1/96e92f5d-50a0-4321-af96-683a7136bb4c/13.jpg 
Huntington,Voice Business,0.04,"$7,000/ quarter",https://www.huntington.com/SmallBusiness/voice-business-credit-card, https://i.ibb.co/whgvRWTq/hungtinton-picture.jpg
PNC,Cash Rewards,0.04,"$8,000/ year",https://www.pnc.com/en/personal-banking/banking/credit-cards/pnc-cash-rewards-visa-credit-card.html, https://i.ibb.co/kgH9tgbR/pnc.jpg
U.S. Bank,Altitude Connect,0.04,"$1,000/ quarter",https://www.usbank.com/credit-cards/altitude-connect-visa-signature-credit-card.html, https://i.ibb.co/YFQMM61C/photo-altitude-connect-consumer.png
Citi,Costco Anywhere,0.04,"$7,000/ year",https://www.citi.com/credit-cards/citi-costco-anywhere-visa-credit-card, https://online.citi.com/CBOL/family/cards/card-art/costco-anywhere/costco-anywhere_247x156.png
Bread (Comenity),Rewards,0.0375,No Cap,https://www.breadfinancial.com/en/bread-rewards-credit-card.html, https://i.ibb.co/spmwpdbS/AAA-card.png
